LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,CleanLap,BlackFlag,CarContact,CarReset,Contact,Discontinuity,Invalid,LostControl,OffTrack,Pitted,Tow,EventCategory,PositionInClass,BestLapOnLap,LeaderLapStartTime,PercentageGapToBestLap,GapToClassLeader
7026,256,84.2872,9679.2872,93,1,0,0,0,0,0,0,0,0,0,0,,19,83.8815,8992.3929,0.4836584944236648,686.8942999999999
1274,60,88.1692,1886.1411,17,1,0,0,0,0,0,0,0,0,0,0,,1,88.1692,1886.1411,0.0,0.0
2125,106,-0.0001,2600.4525,5,0,0,0,1,0,1,1,0,0,1,0,"Car Reset, Discontinuity, Invalid, In Pits",11,,2535.0898,,65.36269999999968
4380,226,84.0146,6358.018,62,0,0,0,0,0,0,0,0,1,0,0,Off Track,13,83.8667,6343.6395,0.17635128125944277,14.378499999999804
5870,242,88.4364,14783.2821,154,1,0,0,0,0,0,0,0,0,0,0,,2,88.4364,14758.4329,0.0,24.849200000000565
861,39,87.2274,6539.5856,33,1,0,0,0,0,0,0,0,0,0,0,,12,86.7423,3385.9758,0.5592427224087828,3153.6098
2121,106,-0.0001,2198.9316,1,0,0,0,0,0,0,1,0,0,1,0,"Invalid, In Pits",5,,2192.6151,,6.316499999999905
6729,252,88.9333,12646.3602,130,1,0,0,0,0,0,0,0,0,0,0,,5,88.2381,12608.5183,0.7878682791220513,37.84189999999944
8243,271,90.6563,8705.8097,84,1,0,0,0,0,0,0,0,0,0,0,,1,90.6563,8705.8097,1.4210854715202004e-14,0.0
2020,95,93.4041,3741.1121,25,1,0,0,0,0,0,0,0,0,0,0,,9,90.6792,2745.4144,3.004989016224229,995.6976999999997
3733,219,84.4989,3682.797,36,1,0,0,0,0,0,0,0,0,0,0,,17,82.1267,3662.9638,2.8884638004449386,19.833200000000033
3974,222,84.4921,2276.0576,24,1,0,0,0,0,0,0,0,0,0,0,,7,83.4093,2267.9796,1.2981765822276259,8.077999999999975
5704,241,86.6345,1005.1312,9,1,0,0,0,0,0,0,0,0,0,0,,12,85.0928,995.6121,1.8117866611511317,9.51909999999998
8202,271,90.7698,4544.6759,43,0,0,0,0,0,0,0,0,1,0,0,Off Track,2,90.3702,4541.7798,0.44218116148907427,2.896099999999933
8885,279,91.3144,12224.8861,121,1,0,0,0,0,0,0,0,0,0,0,,5,90.0222,12124.0322,1.435423706596822,100.85390000000007
1023,47,87.1158,6134.0482,22,1,0,0,0,0,0,0,0,0,0,0,,15,86.5814,2345.0126,0.6172226367325919,3789.0356
8901,279,128.0581,13729.6007,137,1,0,0,0,0,0,0,0,0,1,0,In Pits,6,90.4509,13649.6682,41.57747462988206,79.9325000000008
9326,284,92.4729,13473.9224,134,0,0,0,0,0,0,0,0,1,0,0,Off Track,8,90.2318,13331.7506,2.483714167289122,142.17180000000008
9557,287,99.6187,2383.6655,23,1,0,0,0,0,0,0,0,0,0,0,,7,99.575,2370.6219,0.04388651770022989,13.04359999999997
9928,291,88.8306,9726.6063,97,1,0,0,0,0,0,0,0,0,0,0,,11,88.0678,9638.1025,0.8661508519572436,88.50379999999859
