LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,SessionEntryID,LapTimeLoss,PitInstanceInSession
2560,156,93.1694,160.1447,1,112,9.36385,1
2566,157,91.5464,127.2518,1,113,7.1751000000000005,1
2575,158,94.561,126.0224,1,114,9.843714285714285,1
2584,159,93.5642,115.4866,1,115,6.663150000000002,1
2596,160,94.0852,550.1407,5,116,4.79665,1
2597,161,129.5764,679.7171,6,116,40.287850000000006,1
2599,162,93.5566,437.7958,1,117,6.053466666666679,1
2604,163,93.2446,121.1661,1,118,4.087950000000006,1
2607,164,112.3782,402.4413,4,118,23.221550000000008,2
2608,164,93.426,495.8673,5,118,4.269350000000003,2
2611,165,202.6678,424.7185,3,119,113.59121999999999,2
2612,165,96.3396,521.0581,4,119,7.263019999999997,2
2616,166,93.3132,136.0801,1,119,4.236619999999988,1
2619,167,93.7228,117.0239,1,120,0.7615285714285704,1
2625,167,131.6888,674.03,7,120,38.72752857142855,2
2641,170,141.7855,383.595,3,123,42.592125000000024,1
2642,170,100.3408,483.9358,4,123,1.1474250000000126,1
2645,171,104.5992,137.422,1,123,5.405825000000007,1
2646,171,104.3875,241.8095,2,123,5.194125000000014,1
2654,172,97.2933,731.1801,7,124,8.045657142857138,1
2660,173,97.8337,589.0066,5,125,7.267224999999996,1
2670,175,94.2817,105.6634,1,127,5.470500000000001,1
2689,178,97.8456,122.1557,1,130,7.174900000000008,1
2695,179,139.7613,705.5725,7,130,49.09060000000001,2
2696,180,151.4449,174.3733,1,131,61.02373333333331,1
2698,180,95.0069,296.3988,3,131,4.585733333333323,2
2705,182,94.2653,122.232,1,132,2.8372499999999974,1
2709,183,134.4097,522.9613,5,132,42.98164999999999,2
2710,183,94.8089,617.7702,6,132,3.3808499999999952,2
2716,184,100.7391,700.803,4,133,10.928599999999989,1
2718,185,96.8504,127.136,1,134,6.81495000000001,1
2727,186,99.5206,349.266,2,135,11.0227,1
2728,187,136.2256,276.4335,2,136,44.47727499999999,1
2729,187,94.972,371.4055,3,136,3.223675,1
2734,188,94.6218,140.2079,1,136,2.873474999999999,1
2737,189,98.503,308.4618,2,137,7.792725000000004,1
2738,189,96.5266,404.9884,3,137,5.816325000000006,1
2743,190,112.1946,188.8238,1,138,19.504125000000002,1
2750,191,100.4228,119.226,1,139,7.380439999999993,1
2759,192,99.2792,178.4484,2,140,6.036625000000001,1
2767,193,107.3836,238.1727,1,141,11.734359999999995,1
