EventID,Description,Date,Hosted,Official,StartTime,InSimDate,InSimTime,LayoutID,Temp,Humidity,SeasonName,Year,Quarter,SoF,SessionID,SessioniRacingID,SessionType,SessionName,ClassID,ClassName,EventFilterValue,SessionFilterValue,SessionClassFilterValue,LeagueSeasonName,EventCategory,EventSubCategory
51594715,HyperX ClubSport Series 700 km of Fuji,2022-10-15,True,False,12:15:25,2022-10-15,08:00:00,1,68.00,89.00,Hosted iRacing,2023,,,4,0,Race,RACE,2,Sport ClubSport,HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - 15 October 2022 - 51594715,HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - RACE - 15 October 2022 - 51594715,Hosted iRacing - HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - RACE - Sport ClubSport - 15 October 2022 - 51594715,None,IVRA,ClubSport Series
51594715,HyperX ClubSport Series 700 km of Fuji,2022-10-15,True,False,12:15:25,2022-10-15,08:00:00,1,68.00,89.00,Hosted iRacing,2023,,,4,0,Race,RACE,3,TCR ClubSport,HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - 15 October 2022 - 51594715,HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - RACE - 15 October 2022 - 51594715,Hosted iRacing - HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - RACE - TCR ClubSport - 15 October 2022 - 51594715,None,IVRA,ClubSport Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,5,-3,Open Practice,PRACTICE,4,LMP2 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - PRACTICE - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - PRACTICE - LMP2 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,5,-3,Open Practice,PRACTICE,5,GT3 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - PRACTICE - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - PRACTICE - GT3 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,6,-2,Open Qualifying,QUALIFY,4,LMP2 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - QUALIFY - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - QUALIFY - LMP2 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,6,-2,Open Qualifying,QUALIFY,5,GT3 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - QUALIFY - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - QUALIFY - GT3 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,7,-1,Open Practice,WARMUP,4,LMP2 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - WARMUP - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - WARMUP - LMP2 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,7,-1,Open Practice,WARMUP,5,GT3 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - WARMUP - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - WARMUP - GT3 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,8,0,Race,RACE,4,LMP2 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - RACE - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - RACE - LMP2 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,8,0,Race,RACE,5,GT3 Endurance Series,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - RACE - 29 October 2022 - 51967526,Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - RACE - GT3 Endurance Series - 29 October 2022 - 51967526,None,IVRA,Endurance Series
